2014-06-06 04:08:43 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /htdocs/public/www/actselector/cake/libs/debugger.php:673) in [/htdocs/public/www/actselector/cake/libs/controller/controller.php, line 742]
2014-06-06 04:09:34 Warning: Warning (2): mysql_connect() [<a href='http://php.net/function.mysql-connect'>function.mysql-connect</a>]: Can't connect to MySQL server on 'hostingmysql220.register.it' (4) in [/htdocs/public/www/actselector/cake/libs/model/datasources/dbo/dbo_mysql.php, line 552]
2014-06-06 04:09:34 Warning: Warning (2): mysql_select_db(): supplied argument is not a valid MySQL-Link resource in [/htdocs/public/www/actselector/cake/libs/model/datasources/dbo/dbo_mysql.php, line 558]
2014-06-06 04:09:34 Warning: Warning (2): mysql_query(): supplied argument is not a valid MySQL-Link resource in [/htdocs/public/www/actselector/cake/libs/model/datasources/dbo/dbo_mysql.php, line 600]
2014-06-06 04:09:34 Warning: Warning (2): mysql_get_server_info(): supplied argument is not a valid MySQL-Link resource in [/htdocs/public/www/actselector/cake/libs/model/datasources/dbo/dbo_mysql.php, line 566]
2014-06-06 04:09:34 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /htdocs/public/www/actselector/cake/libs/debugger.php:673) in [/htdocs/public/www/actselector/cake/libs/controller/controller.php, line 742]
2014-06-17 03:04:25 Warning: Warning (2): mysql_connect() [<a href='http://php.net/function.mysql-connect'>function.mysql-connect</a>]: Lost connection to MySQL server at 'reading initial communication packet', system error: 113 in [/htdocs/public/www/actselector/cake/libs/model/datasources/dbo/dbo_mysql.php, line 552]
2014-06-17 03:04:25 Warning: Warning (2): mysql_select_db(): supplied argument is not a valid MySQL-Link resource in [/htdocs/public/www/actselector/cake/libs/model/datasources/dbo/dbo_mysql.php, line 558]
2014-06-17 03:04:25 Warning: Warning (2): mysql_query(): supplied argument is not a valid MySQL-Link resource in [/htdocs/public/www/actselector/cake/libs/model/datasources/dbo/dbo_mysql.php, line 600]
2014-06-17 03:04:25 Warning: Warning (2): mysql_get_server_info(): supplied argument is not a valid MySQL-Link resource in [/htdocs/public/www/actselector/cake/libs/model/datasources/dbo/dbo_mysql.php, line 566]
2014-06-17 03:04:25 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /htdocs/public/www/actselector/cake/libs/debugger.php:673) in [/htdocs/public/www/actselector/cake/libs/controller/controller.php, line 742]
2014-07-23 22:39:19 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /htdocs/public/www/actselector/cake/libs/debugger.php:673) in [/htdocs/public/www/actselector/cake/libs/controller/components/request_handler.php, line 759]
2014-07-25 09:31:32 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /htdocs/public/www/actselector/cake/libs/debugger.php:673) in [/htdocs/public/www/actselector/cake/libs/controller/components/request_handler.php, line 759]
2014-09-24 19:03:35 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /htdocs/public/www/actselector/cake/libs/debugger.php:673) in [/htdocs/public/www/actselector/cake/libs/controller/components/request_handler.php, line 759]
2014-10-01 10:25:20 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /htdocs/public/www/actselector/cake/libs/debugger.php:673) in [/htdocs/public/www/actselector/cake/libs/controller/components/request_handler.php, line 759]
2014-10-01 13:31:28 Warning: Warning (2): mysql_connect() [<a href='http://php.net/function.mysql-connect'>function.mysql-connect</a>]: Can't connect to MySQL server on 'hostingmysql220.register.it' (4) in [/htdocs/public/www/actselector/cake/libs/model/datasources/dbo/dbo_mysql.php, line 552]
2014-10-01 13:31:28 Warning: Warning (2): mysql_select_db(): supplied argument is not a valid MySQL-Link resource in [/htdocs/public/www/actselector/cake/libs/model/datasources/dbo/dbo_mysql.php, line 558]
2014-10-01 13:31:28 Warning: Warning (2): mysql_query(): supplied argument is not a valid MySQL-Link resource in [/htdocs/public/www/actselector/cake/libs/model/datasources/dbo/dbo_mysql.php, line 600]
2014-10-01 13:31:28 Warning: Warning (2): mysql_get_server_info(): supplied argument is not a valid MySQL-Link resource in [/htdocs/public/www/actselector/cake/libs/model/datasources/dbo/dbo_mysql.php, line 566]
2014-10-01 13:31:28 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /htdocs/public/www/actselector/cake/libs/debugger.php:673) in [/htdocs/public/www/actselector/cake/libs/controller/controller.php, line 742]
